run,system_bytes,system_throughput_bps,system_throughput_mbps
Scenario1-73-20250707-22:31:39-966230,43795132.0,6370201.018181819,6.3702010181818185
Scenario1-74-20250707-22:31:39-966232,43963423.0,6394679.709090909,6.394679709090909
Scenario1-75-20250707-22:31:39-966231,43925419.0,6389151.8545454545,6.389151854545455
Scenario1-76-20250707-22:31:40-966265,43782044.0,6368297.30909091,6.368297309090909
Scenario1-77-20250707-22:31:41-966272,43946798.0,6392261.527272727,6.392261527272727
Scenario1-78-20250707-22:31:41-966277,43947520.0,6392366.545454546,6.3923665454545455
Scenario1-79-20250707-22:31:41-966278,43964681.0,6394862.69090909,6.394862690909091
Scenario1-61-20250707-22:31:37-966163,43888164.0,6383732.945454545,6.383732945454545
Scenario1-62-20250707-22:31:37-966164,43965134.0,6394928.581818182,6.394928581818182
Scenario1-63-20250707-22:31:37-966165,43832187.0,6375590.836363636,6.375590836363636
Scenario1-64-20250707-22:31:37-966178,43888133.0,6383728.4363636365,6.383728436363636
Scenario1-65-20250707-22:31:37-966183,43891108.0,6384161.163636364,6.384161163636364
Scenario1-66-20250707-22:31:38-966200,43935638.0,6390638.254545455,6.390638254545455
Scenario1-67-20250707-22:31:38-966205,43919666.0,6388315.054545455,6.388315054545455
Scenario1-68-20250707-22:31:38-966210,43854036.0,6378768.872727273,6.378768872727273
Scenario1-69-20250707-22:31:38-966211,43981205.0,6397266.181818182,6.397266181818182
Scenario1-80-20250707-22:31:41-966287,48135985.0,7001597.818181818,7.001597818181819
Scenario1-90-20250707-22:31:44-966345,48056020.0,6989966.545454546,6.989966545454546
Scenario1-91-20250707-22:31:44-966346,48035363.0,6986961.890909091,6.9869618909090905
Scenario1-92-20250707-22:31:44-966375,47986796.0,6979897.6,6.979897599999999
Scenario1-93-20250707-22:31:44-966380,47982707.0,6979302.836363636,6.979302836363636
Scenario1-94-20250707-22:31:45-966387,48146699.0,7003156.218181818,7.003156218181818
Scenario1-95-20250707-22:31:45-966388,48102167.0,6996678.836363636,6.996678836363636
Scenario1-96-20250707-22:31:45-966389,47960835.0,6976121.454545454,6.976121454545454
Scenario1-97-20250707-22:31:45-966390,48140050.0,7002189.090909091,7.0021890909090905
Scenario1-98-20250707-22:31:46-966442,48138492.0,7001962.472727273,7.001962472727272
Scenario1-99-20250707-22:31:46-966458,48136821.0,7001719.418181818,7.001719418181818
Scenario1-81-20250707-22:31:41-966288,48079869.0,6993435.490909091,6.993435490909091
Scenario1-82-20250707-22:31:41-966289,48162951.0,7005520.1454545455,7.005520145454546
Scenario1-83-20250707-22:31:42-966313,47999998.0,6981817.890909091,6.981817890909091
Scenario1-84-20250707-22:31:42-966314,48101763.0,6996620.072727272,6.996620072727272
Scenario1-85-20250707-22:31:42-966323,48083960.0,6994030.545454546,6.994030545454546
Scenario1-86-20250707-22:31:43-966328,48117950.0,6998974.545454546,6.998974545454546
Scenario1-87-20250707-22:31:43-966329,48118045.0,6998988.363636363,6.9989883636363635
Scenario1-88-20250707-22:31:43-966338,47993418.0,6980860.8,6.980860799999999
Scenario1-89-20250707-22:31:44-966344,48166915.0,7006096.7272727275,7.006096727272728
Scenario1-100-20250707-22:31:46-966463,52325743.0,7611017.163636364,7.611017163636364
Scenario1-110-20250707-22:31:49-966525,52226297.0,7596552.290909091,7.5965522909090915
Scenario1-111-20250707-22:31:50-966530,52252194.0,7600319.127272727,7.600319127272727
Scenario1-112-20250707-22:31:50-966546,52157662.0,7586569.018181819,7.586569018181819
Scenario1-113-20250707-22:31:50-966547,52162502.0,7587273.018181819,7.587273018181818
Scenario1-114-20250707-22:31:50-966548,52312894.0,7609148.218181818,7.609148218181818
Scenario1-115-20250707-22:31:50-966561,52269762.0,7602874.472727273,7.602874472727272
Scenario1-116-20250707-22:31:51-966567,52148211.0,7585194.327272727,7.585194327272728
Scenario1-117-20250707-22:31:51-966572,52315719.0,7609559.127272727,7.6095591272727265
Scenario1-118-20250707-22:31:52-966578,52321460.0,7610394.181818182,7.610394181818181
Scenario1-119-20250707-22:31:52-966583,52296996.0,7606835.781818182,7.606835781818182
Scenario1-101-20250707-22:31:47-966468,52261025.0,7601603.636363637,7.601603636363636
Scenario1-102-20250707-22:31:47-966473,52367830.0,7617138.909090909,7.617138909090909
Scenario1-103-20250707-22:31:47-966478,52187350.0,7590887.2727272725,7.590887272727272
Scenario1-104-20250707-22:31:48-966484,52254698.0,7600683.345454546,7.600683345454546
Scenario1-105-20250707-22:31:48-966485,52244020.0,7599130.181818182,7.599130181818182
Scenario1-106-20250707-22:31:48-966483,52275705.0,7603738.909090909,7.603738909090909
Scenario1-107-20250707-22:31:48-966507,52305334.0,7608048.581818182,7.608048581818182
Scenario1-108-20250707-22:31:48-966512,52141981.0,7584288.1454545455,7.584288145454545
Scenario1-109-20250707-22:31:48-966517,52325989.0,7611052.945454545,7.611052945454546
Scenario1-120-20250707-22:31:52-966598,56441647.0,8209694.109090909,8.20969410909091
Scenario1-130-20250707-22:31:55-966662,56444784.0,8210150.4,8.2101504
Scenario1-131-20250707-22:31:55-966667,56402139.0,8203947.490909091,8.20394749090909
Scenario1-132-20250707-22:31:56-966675,56353328.0,8196847.709090909,8.196847709090909
Scenario1-133-20250707-22:31:56-966690,56294358.0,8188270.254545455,8.188270254545454
Scenario1-134-20250707-22:31:56-966694,56515542.0,8220442.472727273,8.220442472727273
