Run,Config,Repetition,Warmup (s),Warmup Value (s),SimTime (s),Sys Throughput (Mbps),RB Utilization,Avg User Throughput (kbps),Avg Queue Length
WarmupDetection5000-0-20250706-19:34:54-590690,WarmupDetection5000,0,0.09489814186319999,0.0002,65.10000000000001,8.40,24.998,4.77,129611.57
WarmupDetection5000-1-20250706-19:34:54-590688,WarmupDetection5000,1,0.0993414568164,0.0002,77.80000000000001,8.35,24.998,4.70,128887.69
WarmupDetection5000-2-20250706-19:34:54-590689,WarmupDetection5000,2,0.1506094375116,0.0002,82.9,8.45,24.997,4.76,128600.60
WarmupDetection5000-3-20250706-19:34:54-590687,WarmupDetection5000,3,0.1072495569888,0.0002,68.60000000000001,8.40,24.998,4.85,127783.13
WarmupDetection5000-4-20250706-19:34:54-590691,WarmupDetection5000,4,0.08026691421599999,0.0002,92.60000000000001,8.41,24.998,4.67,129095.50
WarmupDetection5000-5-20250706-19:34:54-590692,WarmupDetection5000,5,0.097485532884,0.0002,65.60000000000001,8.42,24.998,4.93,129555.09
WarmupDetection5000-6-20250706-19:34:54-590693,WarmupDetection5000,6,0.1279283044272,0.0002,93.30000000000001,8.38,24.998,4.59,128233.92
WarmupDetection5000-7-20250706-19:34:54-590694,WarmupDetection5000,7,0.0840759324372,0.0002,77.5,8.43,24.998,4.83,131860.44
WarmupDetection5000-8-20250706-19:34:54-590698,WarmupDetection5000,8,0.0728393897736,0.0002,99.60000000000001,8.48,24.997,4.64,129418.24
WarmupDetection5000-9-20250706-19:34:54-590697,WarmupDetection5000,9,0.08506231289999999,0.0002,85.0,8.40,24.996,4.75,130144.20
