run,user_id,mean,stddev,count,min,max
Scenario2-20-20250707-23:22:28-994674,0,0.0007181913866288,0.0006256175757752,55275.0,1.4069e-08,0.008140789771
Scenario2-20-20250707-23:22:28-994674,1,0.000840641813529,0.0008530373731121,54881.0,4.8e-08,0.008664996939
Scenario2-20-20250707-23:22:28-994674,2,0.0009201099603705,0.0009958771252752,55359.0,2.2547e-08,0.007956737782
Scenario2-20-20250707-23:22:28-994674,3,0.0010130210388861,0.0010817804490153,55204.0,1.16782e-07,0.006999547217
Scenario2-20-20250707-23:22:28-994674,4,0.0009762442324058,0.0010504030041537,54953.0,3.961e-09,0.006935066449
Scenario2-20-20250707-23:22:28-994674,5,0.000905048274236,0.0009376436832288,54995.0,1.0982e-08,0.006767498868
Scenario2-20-20250707-23:22:28-994674,6,0.0008054825017383,0.0007941062434234,55215.0,2.631e-09,0.006906199931
Scenario2-20-20250707-23:22:28-994674,7,0.0010286587950552,0.0009821685900375,54941.0,2.5579e-08,0.00866776586
Scenario2-20-20250707-23:22:28-994674,8,0.0012720652736947,0.0012781795903924,54968.0,2.837e-09,0.013348518965
Scenario2-20-20250707-23:22:28-994674,9,0.0018545816771634,0.0019797854675508,54918.0,3.203e-08,0.020199022202
Scenario2-30-20250707-23:22:31-994736,0,0.0007149378999496,0.000613738685445,55013.0,2.372e-09,0.006089087064
Scenario2-30-20250707-23:22:31-994736,1,0.0008294839486513,0.0008238092994546,55072.0,7.6744e-08,0.008969664076
Scenario2-30-20250707-23:22:31-994736,2,0.00089548733118,0.0009481922767674,54966.0,2.4345e-08,0.007991391319
Scenario2-30-20250707-23:22:31-994736,3,0.0010087305914652,0.0010859832523383,55028.0,2.4472e-08,0.006996659323
Scenario2-30-20250707-23:22:31-994736,4,0.0009713523603958,0.0010419873628377,54588.0,6.521e-08,0.006999239964
Scenario2-30-20250707-23:22:31-994736,5,0.0009004724623958,0.0009394519617301,54590.0,1.44e-09,0.006908331531
Scenario2-30-20250707-23:22:31-994736,6,0.0008044441574647,0.0008009258218386,55276.0,3.844e-09,0.006832710967
Scenario2-30-20250707-23:22:31-994736,7,0.0010280558567034,0.0009821752893062,55165.0,1.0104e-08,0.009160213113
Scenario2-30-20250707-23:22:31-994736,8,0.001280393397176,0.0013165667068721,54662.0,1.9318e-08,0.014020196579
Scenario2-30-20250707-23:22:31-994736,9,0.0018684842155308,0.0020885111627657,54790.0,1.9142e-08,0.02094054733
Scenario2-31-20250707-23:22:32-994752,0,0.0007072551315558,0.0006068970080894,55031.0,2.4501e-08,0.006535978046
Scenario2-31-20250707-23:22:32-994752,1,0.0008228830614564,0.0008070633958655,55110.0,6.03e-09,0.008970517556
Scenario2-31-20250707-23:22:32-994752,2,0.0008988511687749,0.0009502118716003,55157.0,2.476e-09,0.00798111095
Scenario2-31-20250707-23:22:32-994752,3,0.0010004935552465,0.0010774921798551,55166.0,5.376e-09,0.007322827276
Scenario2-31-20250707-23:22:32-994752,4,0.000964371567861,0.0010241441833403,55110.0,1.3121e-08,0.006939547081
Scenario2-31-20250707-23:22:32-994752,5,0.0008919957333028,0.0009288762862954,54894.0,5.1509e-08,0.006594492506
Scenario2-31-20250707-23:22:32-994752,6,0.000790901896123,0.0007881291171762,54690.0,1.7179e-08,0.006557193467
Scenario2-31-20250707-23:22:32-994752,7,0.0010152561455442,0.0009689567128713,54707.0,3.327e-09,0.007988941508
Scenario2-31-20250707-23:22:32-994752,8,0.0012632879544019,0.0012677164479209,55036.0,9.5721e-08,0.016194410192
Scenario2-31-20250707-23:22:32-994752,9,0.0018054686814568,0.001955292370002,54637.0,4.114e-09,0.020512388825
Scenario2-32-20250707-23:22:32-994757,0,0.0007201384602559,0.0006335468401487,55159.0,6.0262e-08,0.007150763031
Scenario2-32-20250707-23:22:32-994757,1,0.000828192892715,0.0008292929234331,54595.0,1.7651e-08,0.008805552478
Scenario2-32-20250707-23:22:32-994757,2,0.0009127786743006,0.0009835315485698,55024.0,6.08e-09,0.007998709485
Scenario2-32-20250707-23:22:32-994757,3,0.0010023849788405,0.0010789547170305,55272.0,6.55e-09,0.007029368398
Scenario2-32-20250707-23:22:32-994757,4,0.000969943631189,0.0010343873262287,54787.0,3.1222e-08,0.006986664686
Scenario2-32-20250707-23:22:32-994757,5,0.000903137662129,0.0009389546408828,54838.0,6.142e-09,0.006399097544
Scenario2-32-20250707-23:22:32-994757,6,0.0008046745190992,0.0008046167920806,54730.0,2.3438e-08,0.006567676141
Scenario2-32-20250707-23:22:32-994757,7,0.0010364554059722,0.0009968431845834,55014.0,5.81e-09,0.008674015699
Scenario2-32-20250707-23:22:32-994757,8,0.001268843837666,0.0012772829590996,55280.0,5.5356e-08,0.01423142551
