run,user_id,bytes_transmitted,throughput_bps,throughput_mbps
Scenario2-20-20250707-23:22:28-994674,0,2096000.0,304872.7272727273,0.3048727272727273
Scenario2-20-20250707-23:22:28-994674,1,2081574.0,302774.4,0.3027744
Scenario2-20-20250707-23:22:28-994674,2,2101283.0,305641.16363636364,0.3056411636363636
Scenario2-20-20250707-23:22:28-994674,3,2091541.0,304224.14545454545,0.30422414545454546
Scenario2-20-20250707-23:22:28-994674,4,2093035.0,304441.45454545453,0.3044414545454545
Scenario2-20-20250707-23:22:28-994674,5,2088962.0,303849.0181818182,0.3038490181818182
Scenario2-20-20250707-23:22:28-994674,6,2098404.0,305222.4,0.3052224
Scenario2-20-20250707-23:22:28-994674,7,2090180.0,304026.1818181818,0.3040261818181818
Scenario2-20-20250707-23:22:28-994674,8,2087942.0,303700.65454545454,0.30370065454545453
Scenario2-20-20250707-23:22:28-994674,9,2086081.0,303429.9636363636,0.3034299636363636
Scenario2-30-20250707-23:22:31-994736,0,2090175.0,304025.45454545453,0.30402545454545454
Scenario2-30-20250707-23:22:31-994736,1,2093191.0,304464.14545454545,0.3044641454545454
Scenario2-30-20250707-23:22:31-994736,2,2088061.0,303717.9636363636,0.3037179636363636
Scenario2-30-20250707-23:22:31-994736,3,2092703.0,304393.16363636364,0.30439316363636365
Scenario2-30-20250707-23:22:31-994736,4,2069460.0,301012.36363636365,0.30101236363636363
Scenario2-30-20250707-23:22:31-994736,5,2073047.0,301534.10909090907,0.30153410909090905
Scenario2-30-20250707-23:22:31-994736,6,2104536.0,306114.32727272727,0.30611432727272725
Scenario2-30-20250707-23:22:31-994736,7,2096280.0,304913.45454545453,0.30491345454545454
Scenario2-30-20250707-23:22:31-994736,8,2075296.0,301861.2363636364,0.3018612363636364
Scenario2-30-20250707-23:22:31-994736,9,2087730.0,303669.8181818182,0.30366981818181815
Scenario2-31-20250707-23:22:32-994752,0,2091147.0,304166.83636363636,0.30416683636363634
Scenario2-31-20250707-23:22:32-994752,1,2101004.0,305600.58181818185,0.30560058181818184
Scenario2-31-20250707-23:22:32-994752,2,2094535.0,304659.63636363635,0.30465963636363635
Scenario2-31-20250707-23:22:32-994752,3,2092813.0,304409.16363636364,0.3044091636363636
Scenario2-31-20250707-23:22:32-994752,4,2094754.0,304691.4909090909,0.3046914909090909
Scenario2-31-20250707-23:22:32-994752,5,2083789.0,303096.58181818185,0.30309658181818183
Scenario2-31-20250707-23:22:32-994752,6,2070952.0,301229.38181818184,0.3012293818181818
Scenario2-31-20250707-23:22:32-994752,7,2069490.0,301016.7272727273,0.30101672727272727
Scenario2-31-20250707-23:22:32-994752,8,2092786.0,304405.2363636364,0.30440523636363637
Scenario2-31-20250707-23:22:32-994752,9,2072448.0,301446.9818181818,0.3014469818181818
Scenario2-32-20250707-23:22:32-994757,0,2098941.0,305300.5090909091,0.3053005090909091
Scenario2-32-20250707-23:22:32-994757,1,2069614.0,301034.7636363636,0.3010347636363636
Scenario2-32-20250707-23:22:32-994757,2,2081604.0,302778.7636363636,0.30277876363636363
Scenario2-32-20250707-23:22:32-994757,3,2089906.0,303986.32727272727,0.3039863272727273
Scenario2-32-20250707-23:22:32-994757,4,2077530.0,302186.1818181818,0.3021861818181818
Scenario2-32-20250707-23:22:32-994757,5,2079040.0,302405.8181818182,0.30240581818181816
Scenario2-32-20250707-23:22:32-994757,6,2078429.0,302316.94545454544,0.30231694545454546
Scenario2-32-20250707-23:22:32-994757,7,2095459.0,304794.0363636364,0.3047940363636364
Scenario2-32-20250707-23:22:32-994757,8,2097654.0,305113.3090909091,0.30511330909090906
Scenario2-32-20250707-23:22:32-994757,9,2080766.0,302656.87272727274,0.30265687272727276
Scenario2-33-20250707-23:22:32-994762,0,2081415.0,302751.2727272727,0.3027512727272727
Scenario2-33-20250707-23:22:32-994762,1,2086563.0,303500.07272727275,0.30350007272727275
Scenario2-33-20250707-23:22:32-994762,2,2096070.0,304882.9090909091,0.3048829090909091
Scenario2-33-20250707-23:22:32-994762,3,2093184.0,304463.12727272726,0.3044631272727273
Scenario2-33-20250707-23:22:32-994762,4,2087199.0,303592.58181818185,0.30359258181818183
Scenario2-33-20250707-23:22:32-994762,5,2092176.0,304316.5090909091,0.30431650909090907
Scenario2-33-20250707-23:22:32-994762,6,2100962.0,305594.4727272727,0.3055944727272727
Scenario2-33-20250707-23:22:32-994762,7,2074387.0,301729.0181818182,0.3017290181818182
Scenario2-33-20250707-23:22:32-994762,8,2079581.0,302484.5090909091,0.30248450909090907
Scenario2-33-20250707-23:22:32-994762,9,2077765.0,302220.36363636365,0.3022203636363636
Scenario2-34-20250707-23:22:32-994767,0,2083842.0,303104.2909090909,0.3031042909090909
Scenario2-34-20250707-23:22:32-994767,1,2110977.0,307051.2,0.3070512
Scenario2-34-20250707-23:22:32-994767,2,2103719.0,305995.4909090909,0.3059954909090909
Scenario2-34-20250707-23:22:32-994767,3,2092204.0,304320.58181818185,0.30432058181818183
Scenario2-34-20250707-23:22:32-994767,4,2106528.0,306404.07272727275,0.30640407272727277
Scenario2-34-20250707-23:22:32-994767,5,2102546.0,305824.87272727274,0.30582487272727277
Scenario2-34-20250707-23:22:32-994767,6,2099301.0,305352.87272727274,0.30535287272727274
Scenario2-34-20250707-23:22:32-994767,7,2100607.0,305542.83636363636,0.3055428363636364
Scenario2-34-20250707-23:22:32-994767,8,2096857.0,304997.38181818184,0.3049973818181818
Scenario2-34-20250707-23:22:32-994767,9,2088630.0,303800.7272727273,0.3038007272727273
Scenario2-35-20250707-23:22:32-994772,0,2091000.0,304145.45454545453,0.30414545454545455
Scenario2-35-20250707-23:22:32-994772,1,2106290.0,306369.45454545453,0.30636945454545456
Scenario2-35-20250707-23:22:32-994772,2,2095932.0,304862.83636363636,0.30486283636363637
Scenario2-35-20250707-23:22:32-994772,3,2086553.0,303498.61818181816,0.30349861818181817
Scenario2-35-20250707-23:22:32-994772,4,2098753.0,305273.16363636364,0.30527316363636364
Scenario2-35-20250707-23:22:32-994772,5,2085946.0,303410.32727272727,0.30341032727272726
Scenario2-35-20250707-23:22:32-994772,6,2096290.0,304914.9090909091,0.3049149090909091
Scenario2-35-20250707-23:22:32-994772,7,2094341.0,304631.41818181815,0.30463141818181816
Scenario2-35-20250707-23:22:32-994772,8,2095952.0,304865.7454545455,0.3048657454545455
Scenario2-35-20250707-23:22:32-994772,9,2091004.0,304146.0363636364,0.30414603636363635
Scenario2-36-20250707-23:22:32-994777,0,2082689.0,302936.58181818185,0.30293658181818184
Scenario2-36-20250707-23:22:32-994777,1,2073481.0,301597.2363636364,0.3015972363636364
Scenario2-36-20250707-23:22:32-994777,2,2087480.0,303633.45454545453,0.30363345454545454
Scenario2-36-20250707-23:22:32-994777,3,2088478.0,303778.61818181816,0.30377861818181817
Scenario2-36-20250707-23:22:32-994777,4,2096588.0,304958.2545454545,0.3049582545454545
Scenario2-36-20250707-23:22:32-994777,5,2089938.0,303990.9818181818,0.3039909818181818
Scenario2-36-20250707-23:22:32-994777,6,2077309.0,302154.0363636364,0.30215403636363636
Scenario2-36-20250707-23:22:32-994777,7,2094410.0,304641.45454545453,0.30464145454545455
Scenario2-36-20250707-23:22:32-994777,8,2084931.0,303262.6909090909,0.3032626909090909
Scenario2-36-20250707-23:22:32-994777,9,2082798.0,302952.43636363634,0.30295243636363633
Scenario2-37-20250707-23:22:33-994782,0,2107037.0,306478.10909090907,0.30647810909090906
Scenario2-37-20250707-23:22:33-994782,1,2082492.0,302907.92727272725,0.30290792727272725
Scenario2-37-20250707-23:22:33-994782,2,2101465.0,305667.63636363635,0.30566763636363636
Scenario2-37-20250707-23:22:33-994782,3,2092041.0,304296.87272727274,0.30429687272727274
Scenario2-37-20250707-23:22:33-994782,4,2103584.0,305975.85454545455,0.30597585454545456
Scenario2-37-20250707-23:22:33-994782,5,2089966.0,303995.05454545456,0.30399505454545456
Scenario2-37-20250707-23:22:33-994782,6,2087069.0,303573.67272727273,0.3035736727272727
Scenario2-37-20250707-23:22:33-994782,7,2098302.0,305207.56363636366,0.30520756363636364
Scenario2-37-20250707-23:22:33-994782,8,2101575.0,305683.63636363635,0.3056836363636364
Scenario2-37-20250707-23:22:33-994782,9,2095555.0,304808.0,0.304808
Scenario2-38-20250707-23:22:34-994787,0,2093100.0,304450.9090909091,0.3044509090909091
Scenario2-38-20250707-23:22:34-994787,1,2092760.0,304401.45454545453,0.30440145454545453
Scenario2-38-20250707-23:22:34-994787,2,2103762.0,306001.7454545455,0.3060017454545455
Scenario2-38-20250707-23:22:34-994787,3,2086108.0,303433.89090909093,0.30343389090909095
Scenario2-38-20250707-23:22:34-994787,4,2099405.0,305368.0,0.305368
Scenario2-38-20250707-23:22:34-994787,5,2084696.0,303228.5090909091,0.3032285090909091
Scenario2-38-20250707-23:22:34-994787,6,2076766.0,302075.05454545456,0.3020750545454546
Scenario2-38-20250707-23:22:34-994787,7,2086526.0,303494.6909090909,0.3034946909090909
Scenario2-38-20250707-23:22:34-994787,8,2089985.0,303997.8181818182,0.3039978181818182
Scenario2-38-20250707-23:22:34-994787,9,2131555.0,310044.36363636365,0.3100443636363637
Scenario2-39-20250707-23:22:34-994792,0,2081250.0,302727.2727272727,0.30272727272727273
Scenario2-39-20250707-23:22:34-994792,1,2100804.0,305571.4909090909,0.3055714909090909
Scenario2-39-20250707-23:22:34-994792,2,2094540.0,304660.36363636365,0.3046603636363637
Scenario2-39-20250707-23:22:34-994792,3,2098832.0,305284.65454545454,0.30528465454545456
Scenario2-39-20250707-23:22:34-994792,4,2084216.0,303158.6909090909,0.3031586909090909
Scenario2-39-20250707-23:22:34-994792,5,2096133.0,304892.07272727275,0.30489207272727276
Scenario2-39-20250707-23:22:34-994792,6,2090460.0,304066.9090909091,0.3040669090909091
Scenario2-39-20250707-23:22:34-994792,7,2102504.0,305818.7636363636,0.3058187636363636
Scenario2-39-20250707-23:22:34-994792,8,2090273.0,304039.7090909091,0.3040397090909091
Scenario2-39-20250707-23:22:34-994792,9,2092085.0,304303.2727272727,0.3043032727272727
Scenario2-21-20250707-23:22:29-994679,0,2092723.0,304396.07272727275,0.30439607272727276
Scenario2-21-20250707-23:22:29-994679,1,2088303.0,303753.16363636364,0.3037531636363636
Scenario2-21-20250707-23:22:29-994679,2,2101756.0,305709.9636363636,0.3057099636363636
Scenario2-21-20250707-23:22:29-994679,3,2082424.0,302898.0363636364,0.3028980363636364
Scenario2-21-20250707-23:22:29-994679,4,2099723.0,305414.2545454545,0.3054142545454545
Scenario2-21-20250707-23:22:29-994679,5,2101565.0,305682.1818181818,0.3056821818181818
Scenario2-21-20250707-23:22:29-994679,6,2083417.0,303042.4727272727,0.3030424727272727
Scenario2-21-20250707-23:22:29-994679,7,2103210.0,305921.45454545453,0.30592145454545455
Scenario2-21-20250707-23:22:29-994679,8,2076775.0,302076.36363636365,0.30207636363636364
Scenario2-21-20250707-23:22:29-994679,9,2073240.0,301562.1818181818,0.30156218181818184
Scenario2-22-20250707-23:22:29-994681,0,2112733.0,307306.61818181816,0.30730661818181815
Scenario2-22-20250707-23:22:29-994681,1,2102080.0,305757.0909090909,0.30575709090909087
Scenario2-22-20250707-23:22:29-994681,2,2108620.0,306708.36363636365,0.30670836363636367
Scenario2-22-20250707-23:22:29-994681,3,2097211.0,305048.87272727274,0.30504887272727277
Scenario2-22-20250707-23:22:29-994681,4,2089793.0,303969.89090909093,0.30396989090909093
Scenario2-22-20250707-23:22:29-994681,5,2092248.0,304326.9818181818,0.3043269818181818
Scenario2-22-20250707-23:22:29-994681,6,2086928.0,303553.16363636364,0.30355316363636364
Scenario2-22-20250707-23:22:29-994681,7,2092098.0,304305.16363636364,0.3043051636363636
Scenario2-22-20250707-23:22:29-994681,8,2076750.0,302072.7272727273,0.30207272727272727
Scenario2-22-20250707-23:22:29-994681,9,2086199.0,303447.12727272726,0.30344712727272727
Scenario2-23-20250707-23:22:29-994693,0,2082296.0,302879.41818181815,0.3028794181818181
Scenario2-23-20250707-23:22:29-994693,1,2098796.0,305279.41818181815,0.30527941818181814
Scenario2-23-20250707-23:22:29-994693,2,2091173.0,304170.61818181816,0.3041706181818182
Scenario2-23-20250707-23:22:29-994693,3,2102387.0,305801.7454545455,0.30580174545454547
Scenario2-23-20250707-23:22:29-994693,4,2085173.0,303297.89090909093,0.30329789090909093
Scenario2-23-20250707-23:22:29-994693,5,2100840.0,305576.7272727273,0.3055767272727273
Scenario2-23-20250707-23:22:29-994693,6,2081927.0,302825.7454545455,0.3028257454545455
Scenario2-23-20250707-23:22:29-994693,7,2073731.0,301633.6,0.3016336
Scenario2-23-20250707-23:22:29-994693,8,2090099.0,304014.4,0.3040144
Scenario2-23-20250707-23:22:29-994693,9,2083452.0,303047.56363636366,0.30304756363636365
Scenario2-24-20250707-23:22:29-994698,0,2101218.0,305631.7090909091,0.3056317090909091
Scenario2-24-20250707-23:22:29-994698,1,2107314.0,306518.4,0.3065184
Scenario2-24-20250707-23:22:29-994698,2,2091671.0,304243.05454545456,0.3042430545454546
Scenario2-24-20250707-23:22:29-994698,3,2090608.0,304088.43636363634,0.30408843636363636
Scenario2-24-20250707-23:22:29-994698,4,2081551.0,302771.05454545456,0.30277105454545455
Scenario2-24-20250707-23:22:29-994698,5,2102107.0,305761.0181818182,0.30576101818181817
Scenario2-24-20250707-23:22:29-994698,6,2102605.0,305833.45454545453,0.3058334545454545
Scenario2-24-20250707-23:22:29-994698,7,2082582.0,302921.0181818182,0.3029210181818182
Scenario2-24-20250707-23:22:29-994698,8,2082408.0,302895.7090909091,0.3028957090909091
Scenario2-24-20250707-23:22:29-994698,9,2093948.0,304574.2545454545,0.3045742545454545
Scenario2-25-20250707-23:22:29-994703,0,2080455.0,302611.63636363635,0.30261163636363636
Scenario2-25-20250707-23:22:29-994703,1,2080317.0,302591.56363636366,0.30259156363636364
Scenario2-25-20250707-23:22:29-994703,2,2083869.0,303108.2181818182,0.3031082181818182
Scenario2-25-20250707-23:22:29-994703,3,2115025.0,307640.0,0.30764
Scenario2-25-20250707-23:22:29-994703,4,2091025.0,304149.0909090909,0.30414909090909087
Scenario2-25-20250707-23:22:29-994703,5,2102803.0,305862.2545454545,0.3058622545454545
Scenario2-25-20250707-23:22:29-994703,6,2098025.0,305167.2727272727,0.30516727272727273
Scenario2-25-20250707-23:22:29-994703,7,2089776.0,303967.41818181815,0.30396741818181816
Scenario2-25-20250707-23:22:29-994703,8,2092731.0,304397.2363636364,0.3043972363636364
