run,system_bytes,system_throughput_bps,system_throughput_mbps
Scenario2-20-20250707-23:22:28-994674,20915002.0,3042182.109090909,3.0421821090909087
Scenario2-30-20250707-23:22:31-994736,20870479.0,3035706.036363636,3.0357060363636363
Scenario2-31-20250707-23:22:32-994752,20863718.0,3034722.618181818,3.034722618181818
Scenario2-32-20250707-23:22:32-994757,20848943.0,3032573.5272727273,3.0325735272727274
Scenario2-33-20250707-23:22:32-994762,20869302.0,3035534.8363636364,3.0355348363636363
Scenario2-34-20250707-23:22:32-994767,20985211.0,3052394.327272727,3.052394327272727
Scenario2-35-20250707-23:22:32-994772,20942061.0,3046117.963636364,3.046117963636364
Scenario2-36-20250707-23:22:32-994777,20858102.0,3033905.7454545456,3.0339057454545455
Scenario2-37-20250707-23:22:33-994782,20959086.0,3048594.327272727,3.048594327272727
Scenario2-38-20250707-23:22:34-994787,20944663.0,3046496.4363636365,3.0464964363636367
Scenario2-39-20250707-23:22:34-994792,20931097.0,3044523.2,3.0445232
Scenario2-21-20250707-23:22:29-994679,20903136.0,3040456.1454545455,3.0404561454545456
Scenario2-22-20250707-23:22:29-994681,20944660.0,3046496.0,3.046496
Scenario2-23-20250707-23:22:29-994693,20889874.0,3038527.1272727274,3.0385271272727272
Scenario2-24-20250707-23:22:29-994698,20936012.0,3045238.109090909,3.045238109090909
Scenario2-25-20250707-23:22:29-994703,20925360.0,3043688.727272727,3.043688727272727
Scenario2-26-20250707-23:22:30-994716,20907705.0,3041120.727272727,3.041120727272727
Scenario2-27-20250707-23:22:30-994721,20883946.0,3037664.8727272726,3.0376648727272726
Scenario2-28-20250707-23:22:31-994726,20881613.0,3037325.5272727273,3.0373255272727273
Scenario2-29-20250707-23:22:31-994731,20932781.0,3044768.1454545455,3.0447681454545457
Scenario2-40-20250707-23:22:34-994813,30026401.0,4367476.509090909,4.367476509090909
Scenario2-50-20250707-23:22:36-994878,29957078.0,4357393.163636364,4.357393163636364
Scenario2-51-20250707-23:22:37-994884,29956735.0,4357343.2727272725,4.357343272727272
Scenario2-52-20250707-23:22:38-994889,29962254.0,4358146.036363636,4.358146036363636
Scenario2-53-20250707-23:22:38-994894,29963512.0,4358329.018181819,4.358329018181818
Scenario2-54-20250707-23:22:38-994905,30031426.0,4368207.418181818,4.368207418181818
Scenario2-55-20250707-23:22:38-994914,30043764.0,4370002.036363636,4.370002036363636
Scenario2-56-20250707-23:22:38-994918,29929724.0,4353414.4,4.3534144
Scenario2-57-20250707-23:22:39-994928,29971222.0,4359450.472727273,4.359450472727272
Scenario2-58-20250707-23:22:39-994933,30015448.0,4365883.345454546,4.365883345454546
Scenario2-59-20250707-23:22:40-994938,29994329.0,4362811.490909091,4.362811490909091
Scenario2-41-20250707-23:22:34-994820,29978290.0,4360478.545454546,4.360478545454546
Scenario2-42-20250707-23:22:34-994825,29992092.0,4362486.109090909,4.362486109090909
Scenario2-43-20250707-23:22:34-994830,29927825.0,4353138.181818182,4.353138181818181
Scenario2-44-20250707-23:22:34-994835,30046954.0,4370466.036363636,4.370466036363636
Scenario2-45-20250707-23:22:36-994841,29931211.0,4353630.69090909,4.353630690909091
Scenario2-46-20250707-23:22:36-994858,30025655.0,4367368.0,4.367368
Scenario2-47-20250707-23:22:36-994863,29974294.0,4359897.30909091,4.3598973090909094
Scenario2-48-20250707-23:22:36-994868,30003987.0,4364216.290909091,4.364216290909091
Scenario2-49-20250707-23:22:36-994873,29990711.0,4362285.236363636,4.362285236363636
Scenario2-60-20250707-23:22:40-994954,35953871.0,5229653.963636364,5.2296539636363635
Scenario2-70-20250707-23:22:44-995032,35882105.0,5219215.2727272725,5.219215272727272
Scenario2-71-20250707-23:22:44-995039,35883204.0,5219375.127272727,5.219375127272727
Scenario2-72-20250707-23:22:45-995044,35894499.0,5221018.036363636,5.2210180363636365
Scenario2-73-20250707-23:22:46-995049,35861591.0,5216231.418181818,5.216231418181818
Scenario2-74-20250707-23:22:46-995062,35973535.0,5232514.181818182,5.232514181818182
Scenario2-75-20250707-23:22:46-995067,35945152.0,5228385.745454545,5.2283857454545455
Scenario2-76-20250707-23:22:47-995072,35849430.0,5214462.545454546,5.214462545454546
Scenario2-77-20250707-23:22:47-995077,35910857.0,5223397.381818182,5.223397381818182
Scenario2-78-20250707-23:22:47-995082,35920678.0,5224825.890909091,5.2248258909090906
Scenario2-79-20250707-23:22:48-995098,35959582.0,5230484.654545454,5.230484654545454
Scenario2-61-20250707-23:22:40-994959,35953676.0,5229625.6,5.229625599999999
Scenario2-62-20250707-23:22:41-994964,35918489.0,5224507.490909091,5.224507490909091
Scenario2-63-20250707-23:22:41-994969,35869879.0,5217436.945454545,5.217436945454545
Scenario2-64-20250707-23:22:42-994974,35967215.0,5231594.909090909,5.2315949090909095
Scenario2-65-20250707-23:22:42-994990,35928449.0,5225956.218181818,5.2259562181818175
Scenario2-66-20250707-23:22:42-994995,35964756.0,5231237.236363636,5.231237236363636
Scenario2-67-20250707-23:22:43-995000,35931149.0,5226348.945454545,5.2263489454545455
Scenario2-68-20250707-23:22:43-995005,35912854.0,5223687.8545454545,5.223687854545455
Scenario2-69-20250707-23:22:44-995010,35936152.0,5227076.654545454,5.227076654545455
Scenario2-80-20250707-23:22:49-995103,41664164.0,6060242.036363636,6.060242036363636
Scenario2-90-20250707-23:22:52-995181,41536559.0,6041681.30909091,6.04168130909091
Scenario2-91-20250707-23:22:53-995186,41627599.0,6054923.490909091,6.054923490909091
Scenario2-92-20250707-23:22:54-995197,41571402.0,6046749.381818182,6.046749381818182
Scenario2-93-20250707-23:22:55-995209,41539465.0,6042104.0,6.042104
Scenario2-94-20250707-23:22:55-995214,41655212.0,6058939.927272728,6.058939927272728
Scenario2-95-20250707-23:22:56-995219,41623291.0,6054296.872727273,6.0542968727272735
Scenario2-96-20250707-23:22:55-995224,41531387.0,6040929.018181819,6.040929018181819
Scenario2-97-20250707-23:22:56-995229,41596368.0,6050380.8,6.0503808
Scenario2-98-20250707-23:22:56-995234,41629957.0,6055266.472727273,6.055266472727273
Scenario2-99-20250707-23:22:57-995250,41614357.0,6052997.381818182,6.052997381818182
Scenario2-81-20250707-23:22:49-995111,41642978.0,6057160.4363636365,6.057160436363636
Scenario2-82-20250707-23:22:49-995117,41649922.0,6058170.472727273,6.058170472727273
Scenario2-83-20250707-23:22:49-995122,41568464.0,6046322.036363636,6.0463220363636365
Scenario2-84-20250707-23:22:50-995127,41664344.0,6060268.218181818,6.060268218181818
Scenario2-85-20250707-23:22:51-995143,41600446.0,6050973.963636364,6.0509739636363635
Scenario2-86-20250707-23:22:51-995148,41632340.0,6055613.090909091,6.055613090909091
Scenario2-87-20250707-23:22:52-995153,41644513.0,6057383.709090909,6.057383709090909
Scenario2-88-20250707-23:22:52-995158,41582961.0,6048430.69090909,6.048430690909091
Scenario2-89-20250707-23:22:52-995176,41589670.0,6049406.545454546,6.049406545454546
Scenario2-100-20250707-23:22:57-995255,46558271.0,6772112.1454545455,6.772112145454545
Scenario2-110-20250707-23:23:02-995333,46523602.0,6767069.381818182,6.767069381818182
Scenario2-111-20250707-23:23:02-995338,46662464.0,6787267.490909091,6.787267490909091
Scenario2-112-20250707-23:23:02-995343,46504698.0,6764319.709090909,6.764319709090909
Scenario2-113-20250707-23:23:02-995348,46496008.0,6763055.709090909,6.763055709090909
Scenario2-114-20250707-23:23:03-995364,46559039.0,6772223.8545454545,6.772223854545454
Scenario2-115-20250707-23:23:04-995373,46574379.0,6774455.127272727,6.774455127272727
Scenario2-116-20250707-23:23:05-995378,46463033.0,6758259.345454546,6.758259345454546
Scenario2-117-20250707-23:23:05-995395,46528783.0,6767822.981818181,6.767822981818181
Scenario2-118-20250707-23:23:06-995400,46584653.0,6775949.527272727,6.7759495272727275
Scenario2-119-20250707-23:23:06-995405,46569302.0,6773716.654545454,6.773716654545455
Scenario2-101-20250707-23:22:57-995260,46556376.0,6771836.509090909,6.7718365090909085
Scenario2-102-20250707-23:22:58-995265,46515584.0,6765903.127272727,6.765903127272727
Scenario2-103-20250707-23:22:58-995270,46521765.0,6766802.181818182,6.766802181818182
Scenario2-104-20250707-23:22:58-995287,46573191.0,6774282.327272727,6.7742823272727275
Scenario2-105-20250707-23:22:59-995296,46522376.0,6766891.054545455,6.766891054545455
Scenario2-106-20250707-23:22:59-995302,46561620.0,6772599.2727272725,6.772599272727272
Scenario2-107-20250707-23:23:00-995307,46587562.0,6776372.654545454,6.776372654545455
Scenario2-108-20250707-23:23:01-995312,46618918.0,6780933.527272727,6.780933527272727
Scenario2-109-20250707-23:23:01-995328,46507589.0,6764740.218181818,6.764740218181818
Scenario2-120-20250707-23:23:06-995410,48824590.0,7101758.545454546,7.101758545454546
Scenario2-130-20250707-23:23:13-995513,48871588.0,7108594.618181818,7.108594618181818
Scenario2-131-20250707-23:23:13-995518,48993237.0,7126289.018181819,7.126289018181819
Scenario2-132-20250707-23:23:15-995528,48783428.0,7095771.345454546,7.095771345454546
Scenario2-133-20250707-23:23:15-995544,48735408.0,7088786.618181818,7.088786618181818
Scenario2-134-20250707-23:23:16-995550,48833794.0,7103097.30909091,7.103097309090909
Scenario2-135-20250707-23:23:17-995555,48848136.0,7105183.418181818,7.105183418181818
Scenario2-136-20250707-23:23:17-995568,48750916.0,7091042.327272727,7.091042327272727
Scenario2-137-20250707-23:23:17-995573,48794814.0,7097427.490909091,7.097427490909091
Scenario2-138-20250707-23:23:19-995579,48884486.0,7110470.69090909,7.11047069090909
Scenario2-139-20250707-23:23:19-995587,48888800.0,7111098.181818182,7.111098181818182
Scenario2-121-20250707-23:23:08-995429,48852118.0,7105762.618181818,7.105762618181818
Scenario2-122-20250707-23:23:08-995434,48801455.0,7098393.454545454,7.098393454545454
Scenario2-123-20250707-23:23:09-995453,48828961.0,7102394.327272727,7.1023943272727275
Scenario2-124-20250707-23:23:09-995458,48882742.0,7110217.018181819,7.110217018181818
Scenario2-125-20250707-23:23:09-995464,48841735.0,7104252.363636363,7.1042523636363635
Scenario2-126-20250707-23:23:10-995469,48867622.0,7108017.745454545,7.1080177454545455
Scenario2-127-20250707-23:23:11-995487,48883829.0,7110375.127272727,7.110375127272727
Scenario2-128-20250707-23:23:13-995492,48917866.0,7115325.963636364,7.115325963636364
Scenario2-129-20250707-23:23:13-995497,48755525.0,7091712.7272727275,7.091712727272728
Scenario2-140-20250707-23:23:20-995607,50794536.0,7388296.1454545455,7.388296145454546
Scenario2-150-20250707-23:23:27-995695,50874562.0,7399936.290909091,7.399936290909091
Scenario2-151-20250707-23:23:27-995711,50986160.0,7416168.7272727275,7.416168727272727
Scenario2-152-20250707-23:23:28-995716,50793459.0,7388139.490909091,7.388139490909091
Scenario2-153-20250707-23:23:30-995733,50732288.0,7379241.890909091,7.379241890909091
Scenario2-154-20250707-23:23:30-995738,50769706.0,7384684.509090909,7.384684509090909
Scenario2-155-20250707-23:23:30-995743,50821948.0,7392283.345454546,7.392283345454546
Scenario2-156-20250707-23:23:31-995748,50769533.0,7384659.345454546,7.384659345454546
Scenario2-157-20250707-23:23:31-995764,50798741.0,7388907.781818182,7.388907781818182
Scenario2-158-20250707-23:23:32-995769,50845310.0,7395681.454545454,7.395681454545454
Scenario2-159-20250707-23:23:32-995774,50865123.0,7398563.345454546,7.398563345454546
Scenario2-141-20250707-23:23:20-995612,50844518.0,7395566.254545455,7.395566254545455
Scenario2-142-20250707-23:23:21-995617,50768136.0,7384456.1454545455,7.384456145454545
Scenario2-143-20250707-23:23:22-995633,50798592.0,7388886.109090909,7.388886109090909
Scenario2-144-20250707-23:23:23-995638,50869262.0,7399165.381818182,7.3991653818181815
Scenario2-145-20250707-23:23:23-995643,50807242.0,7390144.290909091,7.390144290909091
Scenario2-146-20250707-23:23:24-995658,50871580.0,7399502.545454546,7.3995025454545456
Scenario2-147-20250707-23:23:24-995667,50815337.0,7391321.745454545,7.391321745454545
Scenario2-148-20250707-23:23:25-995673,50900612.0,7403725.381818182,7.403725381818182
Scenario2-149-20250707-23:23:27-995690,50688191.0,7372827.781818182,7.372827781818182
Scenario2-160-20250707-23:23:32-995779,52520837.0,7639394.472727273,7.639394472727273
Scenario2-170-20250707-23:23:40-995885,52590539.0,7649532.945454545,7.6495329454545455
Scenario2-171-20250707-23:23:41-995890,52722341.0,7668704.1454545455,7.668704145454545
Scenario2-172-20250707-23:23:41-995895,52549593.0,7643577.163636364,7.643577163636364
Scenario2-173-20250707-23:23:42-995912,52461300.0,7630734.545454546,7.630734545454546
Scenario2-174-20250707-23:23:43-995917,52524688.0,7639954.618181818,7.639954618181818
Scenario2-175-20250707-23:23:43-995922,52581931.0,7648280.872727273,7.648280872727273
Scenario2-176-20250707-23:23:45-995942,52493462.0,7635412.654545454,7.635412654545454
Scenario2-177-20250707-23:23:45-995947,52524293.0,7639897.163636364,7.639897163636364
Scenario2-178-20250707-23:23:46-995952,52579582.0,7647939.2,7.647939200000001
Scenario2-179-20250707-23:23:46-995971,52575842.0,7647395.2,7.6473952
Scenario2-161-20250707-23:23:33-995784,52575281.0,7647313.6,7.6473135999999995
Scenario2-162-20250707-23:23:33-995789,52479832.0,7633430.109090909,7.633430109090909
Scenario2-163-20250707-23:23:34-995808,52518659.0,7639077.672727273,7.6390776727272725
Scenario2-164-20250707-23:23:35-995814,52607039.0,7651932.945454545,7.651932945454545
Scenario2-165-20250707-23:23:36-995830,52566368.0,7646017.163636364,7.646017163636364
Scenario2-166-20250707-23:23:36-995835,52565021.0,7645821.236363636,7.645821236363636
Scenario2-167-20250707-23:23:37-995841,52559286.0,7644987.054545455,7.644987054545455
Scenario2-168-20250707-23:23:39-995859,52657045.0,7659206.545454546,7.659206545454546
Scenario2-169-20250707-23:23:39-995868,52447907.0,7628786.472727273,7.628786472727272
Scenario2-180-20250707-23:23:47-995976,54425753.0,7916473.163636364,7.916473163636364
Scenario2-190-20250707-23:23:56-996094,54498923.0,7927116.072727272,7.927116072727272
Scenario2-191-20250707-23:23:56-996099,54617763.0,7944401.890909091,7.9444018909090905
Scenario2-192-20250707-23:23:57-996105,54445844.0,7919395.490909091,7.919395490909091
Scenario2-193-20250707-23:23:59-996125,54342203.0,7904320.4363636365,7.904320436363636
Scenario2-194-20250707-23:23:59-996130,54424010.0,7916219.636363637,7.916219636363636
Scenario2-195-20250707-23:24:02-996146,54495082.0,7926557.381818182,7.926557381818182
Scenario2-196-20250707-23:24:02-996151,54397807.0,7912408.290909091,7.912408290909091
Scenario2-197-20250707-23:24:02-996156,54444092.0,7919140.654545454,7.919140654545454
Scenario2-198-20250707-23:24:03-996162,54458816.0,7921282.327272727,7.921282327272727
Scenario2-199-20250707-23:24:05-996194,54499322.0,7927174.109090909,7.92717410909091
Scenario2-181-20250707-23:23:48-995993,54469514.0,7922838.4,7.922838400000001
Scenario2-182-20250707-23:23:49-995998,54365270.0,7907675.636363637,7.907675636363637
Scenario2-183-20250707-23:23:50-996018,54418226.0,7915378.327272727,7.915378327272727
Scenario2-184-20250707-23:23:51-996023,54505438.0,7928063.709090909,7.928063709090909
Scenario2-185-20250707-23:23:51-996028,54447182.0,7919590.109090909,7.919590109090909
Scenario2-186-20250707-23:23:52-996033,54432188.0,7917409.163636364,7.917409163636364
Scenario2-187-20250707-23:23:54-996054,54468467.0,7922686.109090909,7.922686109090909
Scenario2-188-20250707-23:23:54-996060,54538528.0,7932876.8,7.9328768
Scenario2-189-20250707-23:23:56-996077,54349488.0,7905380.072727272,7.905380072727272
Scenario2-0-20250707-23:22:26-994558,10476080.0,1523793.4545454546,1.5237934545454546
Scenario2-10-20250707-23:22:27-994613,10484276.0,1524985.6,1.5249856000000002
Scenario2-11-20250707-23:22:27-994614,10444836.0,1519248.8727272728,1.5192488727272728
Scenario2-12-20250707-23:22:27-994615,10433700.0,1517629.0909090908,1.5176290909090908
Scenario2-13-20250707-23:22:27-994616,10441512.0,1518765.3818181818,1.5187653818181819
Scenario2-14-20250707-23:22:27-994617,10508332.0,1528484.6545454545,1.5284846545454545
Scenario2-15-20250707-23:22:28-994638,10448042.0,1519715.2,1.5197152
Scenario2-16-20250707-23:22:28-994640,10463082.0,1521902.8363636364,1.5219028363636364
