run,mean_scheduled_users,stddev_scheduled_users,min_scheduled_users,max_scheduled_users
Scenario2-20-20250707-23:22:28-994674,5.5266813330667,1.630321190573,0.0,10.0
Scenario2-30-20250707-23:22:31-994736,5.5158088034763,1.622548524252,0.0,10.0
Scenario2-31-20250707-23:22:32-994752,5.5284994818276,1.6176052842634,0.0,10.0
Scenario2-32-20250707-23:22:32-994757,5.5257722586862,1.6324533562782,0.0,10.0
Scenario2-33-20250707-23:22:32-994762,5.5307539862912,1.6238351328774,1.0,10.0
Scenario2-34-20250707-23:22:32-994767,5.5225359538917,1.6269341869974,1.0,10.0
Scenario2-35-20250707-23:22:32-994772,5.5308630752168,1.6274121114648,1.0,10.0
Scenario2-36-20250707-23:22:32-994777,5.5227904947183,1.6240671846541,0.0,10.0
Scenario2-37-20250707-23:22:33-994782,5.5181905783531,1.6246960573169,0.0,10.0
Scenario2-38-20250707-23:22:34-994787,5.5001545426447,1.6326456425991,0.0,10.0
Scenario2-39-20250707-23:22:34-994792,5.5044999181833,1.6265699340539,1.0,10.0
Scenario2-21-20250707-23:22:29-994679,5.510936164797,1.6345345286649,0.0,10.0
Scenario2-22-20250707-23:22:29-994681,5.5181905783531,1.6287309634769,0.0,10.0
Scenario2-23-20250707-23:22:29-994693,5.5272085962073,1.6354122768268,0.0,10.0
Scenario2-24-20250707-23:22:29-994698,5.5236450246359,1.6184026897781,0.0,10.0
Scenario2-25-20250707-23:22:29-994703,5.5213905201724,1.6253507820161,1.0,10.0
Scenario2-26-20250707-23:22:30-994716,5.5344993727387,1.6266909380716,1.0,10.0
Scenario2-27-20250707-23:22:30-994721,5.5135179360375,1.6350045838944,1.0,10.0
Scenario2-28-20250707-23:22:31-994726,5.5356629879457,1.6191260103084,0.0,10.0
Scenario2-29-20250707-23:22:31-994731,5.5327539499282,1.6244565175591,1.0,10.0
Scenario2-40-20250707-23:22:34-994813,3.8213123397756,1.5357074631187,1.0,9.0
Scenario2-50-20250707-23:22:36-994878,3.8292576498609,1.533691675722,1.0,9.0
Scenario2-51-20250707-23:22:37-994884,3.8294031017618,1.5386433770981,1.0,9.0
Scenario2-52-20250707-23:22:38-994889,3.8222395956437,1.5359512097282,1.0,9.0
Scenario2-53-20250707-23:22:38-994894,3.8369120561444,1.535525383252,1.0,9.0
Scenario2-54-20250707-23:22:38-994905,3.8057489863821,1.5344920519982,1.0,9.0
Scenario2-55-20250707-23:22:38-994914,3.8083307576226,1.5366399166946,1.0,9.0
Scenario2-56-20250707-23:22:38-994918,3.8292031053981,1.5395721600031,1.0,9.0
Scenario2-57-20250707-23:22:39-994928,3.8204214468828,1.5305810104833,1.0,9.0
Scenario2-58-20250707-23:22:39-994933,3.8220577807676,1.5318644581648,1.0,9.0
Scenario2-59-20250707-23:22:40-994938,3.8168942382866,1.529592589095,1.0,9.0
Scenario2-41-20250707-23:22:34-994820,3.8274758640752,1.5377073753671,1.0,9.0
Scenario2-42-20250707-23:22:34-994825,3.8147670042363,1.5340667654023,1.0,10.0
Scenario2-43-20250707-23:22:34-994830,3.82660315267,1.5356095281798,1.0,9.0
Scenario2-44-20250707-23:22:34-994835,3.8227123143216,1.5260422237513,1.0,9.0
Scenario2-45-20250707-23:22:36-994841,3.8211487063872,1.5341188754741,1.0,9.0
Scenario2-46-20250707-23:22:36-994858,3.8259304376284,1.5361312562873,1.0,9.0
Scenario2-47-20250707-23:22:36-994863,3.8304030835803,1.5372821351252,1.0,10.0
Scenario2-48-20250707-23:22:36-994868,3.8155306267159,1.5273052545915,1.0,9.0
Scenario2-49-20250707-23:22:36-994873,3.8310576171342,1.5367035993759,1.0,10.0
Scenario2-60-20250707-23:22:40-994954,3.1723968655115,1.2330548385742,1.0,8.0
Scenario2-70-20250707-23:22:44-995032,3.1702696314612,1.2295337246391,1.0,8.0
Scenario2-71-20250707-23:22:44-995039,3.1701969055108,1.2336331174625,1.0,8.0
Scenario2-72-20250707-23:22:45-995044,3.169396920056,1.2376130170309,1.0,8.0
Scenario2-73-20250707-23:22:46-995049,3.1806148979109,1.2404967597638,1.0,9.0
Scenario2-74-20250707-23:22:46-995062,3.163997018236,1.2323425357314,1.0,9.0
