run,mean_rb_utilization,stddev_rb_utilization,min_rb_utilization,max_rb_utilization
Scenario2-20-20250707-23:22:28-994674,21.89763822476,4.5709153712366,0.0,25.0
Scenario2-30-20250707-23:22:31-994736,21.835021181433,4.641200828548,0.0,25.0
Scenario2-31-20250707-23:22:32-994752,21.824785003909,4.6523004145216,0.0,25.0
Scenario2-32-20250707-23:22:32-994757,21.82956673515,4.6403220079788,0.0,25.0
Scenario2-33-20250707-23:22:32-994762,21.809785276631,4.6354169638166,1.0,25.0
Scenario2-34-20250707-23:22:32-994767,21.904929001291,4.6103438517943,1.0,25.0
Scenario2-35-20250707-23:22:32-994772,21.889929274013,4.6003352285456,1.0,25.0
Scenario2-36-20250707-23:22:32-994777,21.855148088217,4.6228974873475,0.0,25.0
Scenario2-37-20250707-23:22:33-994782,21.913474300467,4.5583833342254,0.0,25.0
Scenario2-38-20250707-23:22:34-994787,21.959455282631,4.5485533869777,0.0,25.0
Scenario2-39-20250707-23:22:34-994792,21.93011036163,4.561940066224,1.0,25.0
Scenario2-21-20250707-23:22:29-994679,21.90440173815,4.6000421822951,0.0,25.0
Scenario2-22-20250707-23:22:29-994681,21.910856166252,4.5618216612209,0.0,25.0
Scenario2-23-20250707-23:22:29-994693,21.908310757986,4.6025183050399,0.0,25.0
Scenario2-24-20250707-23:22:29-994698,21.889711096162,4.6085631511732,0.0,25.0
Scenario2-25-20250707-23:22:29-994703,21.920674169561,4.5706035038191,1.0,25.0
Scenario2-26-20250707-23:22:30-994716,21.875402265413,4.60451385594,1.0,25.0
Scenario2-27-20250707-23:22:30-994721,21.868329666733,4.6113386805026,1.0,25.0
Scenario2-28-20250707-23:22:31-994726,21.822130506718,4.6380460281287,0.0,25.0
Scenario2-29-20250707-23:22:31-994731,21.914419737823,4.5800241637035,1.0,25.0
Scenario2-40-20250707-23:22:34-994813,24.949964546099,0.36467426139622,9.0,25.0
Scenario2-50-20250707-23:22:36-994878,24.948928201305,0.38003682399249,10.0,25.0
Scenario2-51-20250707-23:22:37-994884,24.946200978164,0.39574575617974,13.0,25.0
Scenario2-52-20250707-23:22:38-994889,24.945982800313,0.3934582084711,10.0,25.0
Scenario2-53-20250707-23:22:38-994894,24.946110070726,0.39717800565386,7.0,25.0
Scenario2-54-20250707-23:22:38-994905,24.950746350066,0.35857221568408,13.0,25.0
Scenario2-55-20250707-23:22:38-994914,24.946328248577,0.41075453828726,7.0,25.0
Scenario2-56-20250707-23:22:38-994918,24.94767367866,0.38901752349365,6.0,25.0
Scenario2-57-20250707-23:22:39-994928,24.946364611553,0.38531629520025,9.0,25.0
Scenario2-58-20250707-23:22:39-994933,24.948873656843,0.38442951175718,7.0,25.0
Scenario2-59-20250707-23:22:40-994938,24.949582734859,0.37916638045639,9.0,25.0
