Run,Config,Repetition,Warmup (s),Warmup Value (s),SimTime (s),Sys Throughput (Mbps),RB Utilization,Avg User Throughput (kbps),Avg Queue Length
WarmupDetection1000-0-20250706-11:37:17-400489,WarmupDetection1000,0,0.47449070931239995,0.0010,19.6,3.04,21.293,0.50,1.36
WarmupDetection1000-1-20250706-11:37:17-400488,WarmupDetection1000,1,0.4967072840424,0.0010,10.700000000000001,3.05,21.278,0.50,1.35
WarmupDetection1000-2-20250706-11:37:17-400492,WarmupDetection1000,2,0.753047187504,0.0010,26.5,3.04,21.433,0.50,1.39
WarmupDetection1000-3-20250706-11:37:17-400491,WarmupDetection1000,3,0.536247784962,0.0010,17.3,3.04,21.284,0.50,1.38
WarmupDetection1000-4-20250706-11:37:17-400493,WarmupDetection1000,4,0.401334571074,0.0010,28.200000000000003,3.05,21.243,0.50,1.40
WarmupDetection1000-5-20250706-11:37:17-400494,WarmupDetection1000,5,0.48742766439359997,0.0010,18.3,3.05,21.297,0.50,1.38
WarmupDetection1000-6-20250706-11:37:17-400497,WarmupDetection1000,6,0.6396415222788,0.0010,17.7,3.03,21.181,0.50,1.38
WarmupDetection1000-7-20250706-11:37:17-400502,WarmupDetection1000,7,0.4203796622028,0.0010,37.300000000000004,3.03,21.257,0.49,1.38
WarmupDetection1000-8-20250706-11:37:17-400505,WarmupDetection1000,8,0.364196948826,0.0010,28.6,3.05,21.261,0.50,1.40
WarmupDetection1000-9-20250706-11:37:17-400507,WarmupDetection1000,9,0.4253115644676,0.0010,32.2,3.05,21.179,0.50,1.38
